Family,Genus,Species,Genus corrected,Species corrected,Growth form,Plant traits,Plant trait value,Trait unit,Minimun value,Maximum value,Trait range mean value,Trait range unit,Sample size value,Sample unit,Origin,Deciduousness,Succession,Nitrogen fixing,Shade tolerance,Dispersal syndrome,Dispersal group,Pollination,Pollination group,Sexual system,Reproductive system,Resprouting capsule,Flower color 1,Flower color 2,Flowering period start,Flowering period end,Flower shape,Odour,Anthesis time,Fruit color,Fruit period start,Fruit period end,Fruit type,Fruit dehiscence,Fruit secundary structure,Seed color,Seed arillus,Arrilus color,Usefulness,Usefulness group,Source,Study Date,Study Country,Study State,Study City,Study Area,Study Bioma,Physiognomy type,Database DOI,Full Reference APA Database,Reference citation,Paper DOI,Full reference APA,Created At,Created By,Modified At,Modified By,Editor Name,Editor Email,Additional Notes
Bromeliaceae,Aechmea,nudicaulis,,,,nectar_volume,3.74,uL/hour,,,1.15,SD,562,hour,native,,,,,,,,,,,,yellow,red,may,april,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,nudicaulis,,,,nectar_concentration_brix,24.97,%,,,3.04,SD,562,hour,native,,,,,,,,,,,,yellow,red,may,april,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,organensis,,,,corolla_length,16.75,mm,,,0.2,SD,108,hour,native,,,,,,,,,,,,blue,red,march,november,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,organensis,,,,nectar_volume,2.42,uL/hour,,,0.27,SD,108,hour,native,,,,,,,,,,,,blue,red,march,november,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,organensis,,,,nectar_concentration_brix,24.5,%,,,1.8,SD,108,hour,native,,,,,,,,,,,,blue,red,march,november,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,ornata,,,,corolla_length,17.49,mm,,,2.6,SD,76,hour,native,,,,,,,,,,,,blue,,october,august,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,ornata,,,,nectar_volume,4.95,uL/hour,,,0.92,SD,76,hour,native,,,,,,,,,,,,blue,,october,august,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,ornata,,,,nectar_concentration_brix,28.05,%,,,1.29,SD,76,hour,native,,,,,,,,,,,,blue,,october,august,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,pectinata,,,,corolla_length,27.35,mm,,,2.17,SD,172,hour,native,,,,,,,,,,,,yellow,blue,september,april,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,pectinata,,,,nectar_volume,5.06,uL/hour,,,1.84,SD,172,hour,native,,,,,,,,,,,,yellow,blue,september,april,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,pectinata,,,,nectar_concentration_brix,27.41,%,,,2.25,SD,172,hour,native,,,,,,,,,,,,yellow,blue,september,april,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,spp.,,,,corolla_length,33.5,mm,,,,,,,native,,,,,,,,,,,,red,,may,december,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,spp.,,,,nectar_volume,1.62,uL/hour,,,,,,,native,,,,,,,,,,,,red,,may,december,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
Bromeliaceae,Aechmea,spp.,,,,nectar_concentration_brix,21,%,,,,,,,native,,,,,,,,,,,,red,,may,december,tube,absence,day,,,,,,,,,,,,datapaper,,,,,,,,https://doi.org/10.1002/ecy.3595,"Iamara-Nogueira, J., Targhetta, N., Allain, G., Gambarini, A., Pinto, A. R., Rui, A. M., ... & Buzato, S. (2021). ATLANTIC POLLINATION: a data set of flowers and interaction with nectar-feeding vertebrates from the Atlantic Forest.",,,,07/02/2022 20:49:47,,07/02/2022 20:49:47,,,,
